epoch,val_loss,val_auc,precision,recall,f1_score,lr,train_time,val_time,epoch_time
1,96.39451300881126,0.6735452240036451,0.1783984608239899,0.8240040858018386,0.29329746041556837,0.0005,37.635655879974365,28.109870433807373,65.74552631378174
2,90.27931449196555,0.7076503724623617,0.18342437116460988,0.8335035750766088,0.300679845975275,0.0005,33.22708439826965,27.981483936309814,61.20856833457947
3,85.69553971724076,0.7330343388399926,0.23371325361235676,0.7665985699693565,0.358216791561262,0.0005,37.4484429359436,28.21223497390747,65.66067790985107
4,92.87879444469105,0.733548990253708,0.17867191896454698,0.8432073544433095,0.29486355193599084,0.0005,33.25675392150879,27.891465663909912,61.1482195854187
5,87.39893479780717,0.743804548845218,0.20691699095430766,0.8201225740551583,0.3304591196262836,0.0005,33.136245250701904,28.100088357925415,61.23633360862732
6,89.20775118741122,0.7359923283408708,0.2332181247423661,0.7512768130745658,0.3559416362184528,0.0005,33.44489240646362,28.047292709350586,61.49218511581421
7,92.53156010020862,0.7371903185595812,0.1811199313452049,0.8623084780388152,0.29936170212765956,5e-05,33.270946741104126,27.792641162872314,61.06358790397644
8,84.30172126076438,0.7664758060062161,0.22279792746113988,0.8345250255362615,0.35170038743004733,5e-05,33.308831453323364,27.80054998397827,61.109381437301636
9,83.43590087890625,0.7722043005508186,0.23981082627948308,0.8131767109295199,0.3703910484565101,5e-05,33.28196620941162,35.2558958530426,68.53786206245422
10,83.355705538663,0.7758323455905703,0.23641798042548204,0.8241062308478039,0.367428727570817,5e-05,33.254103899002075,28.0019633769989,61.25606727600098
11,83.33398139260032,0.7768841978151086,0.23389448759781697,0.8273748723186926,0.36469237522793274,5e-05,33.34386491775513,35.40702247619629,68.75088739395142
12,83.33308264992453,0.7795128006132733,0.2266450709638455,0.8433094994892748,0.3572711339983123,5e-05,33.427077293395996,31.529632091522217,64.95670938491821
13,83.63105503429065,0.7796631665570062,0.226420252610859,0.8459652706843718,0.35722912353347136,5e-05,33.34025812149048,24.954251766204834,58.29450988769531
14,83.46735881458629,0.7806740126306824,0.22571381686905154,0.843003064351379,0.35608577469042585,5e-05,33.367772817611694,24.97312307357788,58.340895891189575
15,82.85570505315607,0.7807534675663729,0.23370812299219826,0.8322778345250256,0.3649393111479375,5e-05,33.392306327819824,24.94753670692444,58.33984303474426
16,83.46652603149414,0.7832981409340033,0.23064588725104085,0.8374872318692543,0.36168335612510477,5e-05,37.37782335281372,35.300816774368286,72.678640127182
17,82.95616767189719,0.783908276244907,0.2290097474523704,0.8447395301327886,0.36033288309877565,5e-05,37.44673204421997,35.375314712524414,72.82204675674438
18,83.31914388483222,0.7832157909663554,0.22787848688022513,0.8436159346271705,0.3588295353333478,5e-05,37.31045961380005,35.169049978256226,72.47950959205627
19,83.7750133861195,0.784715160538488,0.22313693839117568,0.8471910112359551,0.353236797274276,5e-06,37.440553188323975,35.326306104660034,72.76685929298401
20,82.38584365844727,0.7863243445117898,0.23327747322975545,0.8389172625127681,0.36504655865946617,5e-06,37.290560483932495,35.21892189979553,72.50948238372803
