epoch,val_loss,val_auc,precision,recall,f1_score,lr,train_time,val_time,epoch_time
1,133.70663119229403,0.6614210658244418,0.5474452554744526,0.05362614913176711,0.09768350544236673,0.0005,37.239562034606934,28.044397115707397,65.28395915031433
2,129.6978515625,0.7036743371452201,0.5614798694232862,0.052706843718079675,0.09636754132038472,0.0005,33.24067425727844,27.98120903968811,61.22188329696655
3,128.00220649025658,0.7256774823068,0.5324302134646962,0.13248212461695608,0.2121707835759856,0.0005,33.183738708496094,28.120562076568604,61.3043007850647
4,125.6512520530007,0.7240948972674774,0.5609065155807366,0.10112359550561797,0.17135439203807876,0.0005,33.10613250732422,27.86463499069214,60.97076749801636
5,123.82951646284623,0.7414615610849522,0.5558938668986516,0.13054136874361594,0.21143188022168913,0.0005,33.199522972106934,35.40153908729553,68.60106205940247
6,126.3749008178711,0.743933796477542,0.508965083359547,0.16527068437180797,0.24951808157915029,0.0005,33.30805945396423,27.898611068725586,61.20667052268982
7,134.5025178389116,0.729463922223269,0.3973406335549472,0.10377936670071501,0.1645743905402122,0.0005,33.28390693664551,28.022080898284912,61.30598783493042
8,125.10075919411399,0.7485914902001641,0.5279968454258676,0.13677221654749744,0.21726431932500406,0.0005,33.43967342376709,28.052830934524536,61.492504358291626
9,128.60503845214845,0.7535429308049196,0.5577689243027888,0.11440245148110317,0.18986268859128666,5e-05,33.189560890197754,28.151743173599243,61.341304063797
10,119.15775708285246,0.7718247571506708,0.5888364779874213,0.1530132788559755,0.24290578887627695,5e-05,33.48762607574463,27.72129988670349,61.20892596244812
11,118.61939364346591,0.7740837960694237,0.5854372484449323,0.1634320735444331,0.2555298251217759,5e-05,32.865514516830444,34.85420346260071,67.71971797943115
12,118.54658716375178,0.7758403684809524,0.5689343768813967,0.1930541368743616,0.2882855399633923,5e-05,33.05025672912598,31.324354648590088,64.37461137771606
13,117.84725161465731,0.7767487574863139,0.5709123757904245,0.19366700715015323,0.28922279002364426,5e-05,33.31946635246277,24.885864973068237,58.205331325531006
14,117.45199404629794,0.7808907528345644,0.5670971364402021,0.20633299284984677,0.3025763930497304,5e-05,33.301345109939575,35.29563808441162,68.5969831943512
15,118.11802617853338,0.7815699631368214,0.5695476029709655,0.17231869254341164,0.26458594730238394,5e-05,33.3177273273468,27.99095320701599,61.30868053436279
16,117.36648157293146,0.7813771099541605,0.5616927727397637,0.20878447395301328,0.30441581651649413,5e-05,33.23905324935913,27.96921730041504,61.20827054977417
17,117.41373221657493,0.7824766346188649,0.5610799251537022,0.21440245148110318,0.3102505358066662,5e-05,35.53877878189087,24.37574529647827,59.91452407836914
18,116.83107091730291,0.7822842637430578,0.5752469494479954,0.20224719101123595,0.2992744860943168,5e-05,35.51438236236572,24.307326793670654,59.82170915603638
19,117.23032628839667,0.784071885260232,0.5831226295828066,0.1884576098059244,0.28485409911996296,5e-05,72.20721650123596,28.05620765686035,100.26342415809631
20,116.74464471990412,0.7846218684255282,0.5581869111280876,0.22390194075587333,0.319603411824743,5e-05,72.00141739845276,27.92208766937256,99.92350506782532
