epoch,val_loss,val_auc,precision,recall,f1_score,lr,train_time,val_time,epoch_time
1,0.03393728025257588,0.5844723367117002,0.0,0.0,0.0,0.0005,33.83793878555298,23.03024697303772,56.8681857585907
2,0.033025756444443354,0.6288353581816991,0.0,0.0,0.0,0.0005,34.13349175453186,21.186140775680542,55.3196325302124
3,0.032470365816896614,0.6624694166971655,0.0,0.0,0.0,0.0005,33.276830434799194,20.860158443450928,54.13698887825012
4,0.03208740194412795,0.7000070817463496,0.0,0.0,0.0,0.0005,33.29410099983215,20.733645915985107,54.02774691581726
5,0.03220063945786519,0.6997862873274976,0.0,0.0,0.0,0.0005,33.45704221725464,20.835622549057007,54.292664766311646
6,0.032382878017696466,0.7156464110947096,0.0,0.0,0.0,0.0005,33.24633598327637,20.76680040359497,54.01313638687134
7,0.032012760300527916,0.7170579244379257,0.0,0.0,0.0,0.0005,33.382569789886475,20.800240755081177,54.18281054496765
8,0.03164611394432458,0.7303196649452489,1.0,0.00010214504596527068,0.0002042692268409764,0.0005,41.633756160736084,20.80018973350525,62.43394589424133
9,0.03449019376527179,0.7168346954474616,0.4,0.0010214504596527069,0.0020376974019358125,0.0005,33.382580280303955,20.769482851028442,54.1520631313324
10,0.03146020875058391,0.7430291206205861,0.6666666666666666,0.00040858018386108274,0.0008166598611678236,0.0005,33.38372278213501,20.831521034240723,54.21524381637573
11,0.03206799431619319,0.7321512095328588,0.7727272727272727,0.0017364657814096017,0.003465144720750102,0.0005,33.38632392883301,20.82073974609375,54.20706367492676
12,0.03337930237705057,0.7118571979135525,0.8181818181818182,0.0009193054136874361,0.0018365472910927456,0.0005,33.04150748252869,20.691291093826294,53.73279857635498
13,0.032125019180503755,0.7526829399659474,0.6666666666666666,0.0006128702757916241,0.0012246147566078172,0.0005,33.104100465774536,20.753217697143555,53.85731816291809
14,0.03145934099500829,0.7553104996438214,0.6875,0.0011235955056179776,0.0022435243728329596,5e-05,32.99057674407959,20.710477828979492,53.70105457305908
15,0.030708688937804915,0.7706205969352212,0.8,0.0008171603677221655,0.0016326530612244899,5e-05,33.18865370750427,20.622817039489746,53.81147074699402
16,0.03063664510846138,0.7737337130768471,0.75,0.0009193054136874361,0.001836359926545603,5e-05,33.30615997314453,20.80337905883789,54.10953903198242
17,0.03063627572899515,0.7758151990096849,0.7727272727272727,0.0017364657814096017,0.003465144720750102,5e-05,41.543537616729736,20.643290758132935,62.18682837486267
18,0.030572653765028174,0.7761452336632894,0.75,0.0012257405515832482,0.0024474811339995923,5e-05,37.395212173461914,20.796997547149658,58.19220972061157
19,0.03055937686427073,0.7776682123461368,0.7777777777777778,0.0014300306435137897,0.0028548123980424145,5e-05,36.057424783706665,20.773481130599976,56.83090591430664
20,0.03056893196295608,0.7766187172440534,0.8,0.001634320735444331,0.0032619775739041795,5e-05,34.55195116996765,20.729034185409546,55.2809853553772
